,0
0,1.0
1,0.999999499999875
2,0.999997999998
3,0.9999954999898749
4,0.9999919999679997
5,0.999987499921874
6,0.9999819998379971
7,0.9999754996998677
8,0.9999679994879836
9,0.9999594991798418
10,0.9999499987499375
11,0.9999394981697642
12,0.9999279974078134
13,0.9999154964295733
14,0.9999019951975293
15,0.9998874936711629
16,0.9998719918069512
17,0.9998554895583661
18,0.9998379868758738
19,0.999819483706934
20,0.999799979995999
21,0.9997794756845131
22,0.9997579707109115
23,0.9997354650106197
24,0.9997119585160518
25,0.9996874511566103
26,0.9996619428586846
27,0.9996354335456502
28,0.9996079231378671
29,0.999579411552679
30,0.9995498987044118
31,0.9995193845043727
32,0.9994878688608482
33,0.9994553516791033
34,0.9994218328613799
35,0.9993873123068954
36,0.9993517899118408
37,0.9993152655693798
38,0.9992777391696465
39,0.9992392105997442
40,0.9991996797437437
41,0.9991591464826812
42,0.9991176106945568
43,0.9990750722543327
44,0.9990315310339308
45,0.9989869869022319
46,0.9989414397250722
47,0.9988948893652425
48,0.9988473356824856
49,0.9987987785334942
50,0.998749217771909
51,0.998698653248316
52,0.9986470848102447
53,0.9985945123021657
54,0.998540935565488
55,0.9984863544385572
56,0.9984307687566525
57,0.9983741783519845
58,0.9983165830536924
59,0.998257982687842
60,0.9981983770774224
61,0.9981377660423435
62,0.9980761493994333
63,0.9980135269624355
64,0.997949898542006
65,0.9978852639457103
66,0.997819622978021
67,0.997752975440314
68,0.9976853211308664
69,0.9976166598448524
70,0.9975469913743412
71,0.9974763155082932
72,0.9974046320325568
73,0.9973319407298655
74,0.9972582413798343
75,0.9971835337589565
76,0.9971078176406
77,0.9970310927950041
78,0.996953358989276
79,0.9968746159873868
80,0.996794863550169
81,0.9967141014353113
82,0.996632329397356
83,0.9965495471876951
84,0.9964657545545658
85,0.9963809512430474
86,0.9962951369950573
87,0.9962083115493465
88,0.9961204746414963
89,0.9960316260039136
90,0.995941765365827
91,0.9958508924532828
92,0.9957590069891409
93,0.9956661086930698
94,0.9955721972815432
95,0.9954772724678349
96,0.9953813339620148
97,0.9952843814709442
98,0.9951864146982715
99,0.9950874333444273
100,0.99498743710662
101,0.9948864256788309
102,0.9947843987518099
103,0.9946813560130702
104,0.9945772971468834
105,0.9944722218342753
106,0.9943661297530201
107,0.9942590205776359
