x,y
-9.5,0.0
-9.38125,1.497380525284073
-9.2625,2.1109461741124544
-9.143749999999999,2.577175961687525
-9.025,2.966374049239239
-8.90625,3.3058600904303255
-8.7875,3.6096874864730344
-8.66875,3.886228690838976
-8.549999999999999,4.140953996363643
-8.43125,4.377673290402105
-8.3125,4.599167723621307
-8.19375,4.807542088999326
-8.075,5.0044355326050525
-7.95625,5.191154586168669
-7.8374999999999995,5.368760913842226
-7.71875,5.538131312771484
-7.6,5.7
-7.481249999999999,5.85498919192
-7.3625,6.003631713388155
-7.2437499999999995,6.1463880399385795
-7.125,6.283659363778403
-7.00625,6.4157977631390475
-6.887499999999999,6.5431142241290585
-6.76875,6.66588504532594
-6.6499999999999995,6.784357007115708
-6.53125,6.898751585431961
-6.4125,7.00926841760251
-6.293749999999999,7.116088176624852
-6.175,7.219374972946065
-6.0562499999999995,7.319278375461614
-5.9375,7.415935123098098
-5.81875,7.509470583037129
-5.699999999999999,7.6000000000000005
-5.58125,7.6876295720787695
-5.4624999999999995,7.772457381677947
-5.34375,7.854574204723003
-5.225,7.934064217032781
-5.10625,8.011005613373392
-4.9875,8.085471152010872
-4.8687499999999995,8.157528635407907
-4.75,8.227241335952167
-4.63125,8.294668374172653
-4.5125,8.35986505572907
-4.39375,8.422883172495034
-4.2749999999999995,8.483771272258583
-4.15625,8.542574900900782
-4.0375,8.599336820360044
-3.9187499999999997,8.654097205225973
-3.8,8.706893820416097
-3.68125,8.757762182058839
-3.5625,8.8067357034261
-3.4437499999999996,8.853845827520377
-3.3249999999999997,8.899122147717717
-3.20625,8.942592517693067
-3.0875,8.984283151704425
-2.96875,9.024218716182581
-2.8499999999999996,9.062422413460984
-2.7312499999999997,9.098916058382999
-2.6125,9.13372014843897
-2.49375,9.166853928011507
-2.375,9.198335447242615
-2.25625,9.228181615979391
-2.1374999999999997,9.256408253204912
-2.01875,9.28303013231671
-1.9,9.308061022576076
-1.78125,9.331513727016642
-1.6624999999999999,9.353400117069727
-1.54375,9.373731164136297
-1.4249999999999998,9.392516968310465
-1.30625,9.409766784437327
-1.1875,9.425489045667604
-1.0687499999999999,9.43969138465342
-0.95,9.45238065251289
-0.8312499999999999,9.463562935675972
-0.7124999999999999,9.473243570710087
-0.59375,9.481427157211092
-0.475,9.488117568833136
-0.35624999999999996,9.493317962519743
-0.2375,9.497030785987798
-0.11875,9.499257783506035
0.0,9.5
0.0,9.5
0.11875,9.499257783506035
0.2375,9.497030785987798
0.35624999999999996,9.493317962519743
0.475,9.488117568833136
0.59375,9.481427157211092
0.7124999999999999,9.473243570710087
0.8312499999999999,9.463562935675972
0.95,9.45238065251289
1.0687499999999999,9.43969138465342
1.1875,9.425489045667604
1.30625,9.409766784437327
1.4249999999999998,9.392516968310465
1.54375,9.373731164136297
1.6624999999999999,9.353400117069727
1.78125,9.331513727016642
1.9,9.308061022576076
2.01875,9.28303013231671
2.1374999999999997,9.256408253204912
2.25625,9.228181615979391
2.375,9.198335447242615
2.49375,9.166853928011507
2.6125,9.13372014843897
2.7312499999999997,9.098916058382999
2.8499999999999996,9.062422413460984
2.96875,9.024218716182581
3.0875,8.984283151704425
3.20625,8.942592517693067
3.3249999999999997,8.899122147717717
3.4437499999999996,8.853845827520377
3.5625,8.8067357034261
3.68125,8.757762182058839
3.8,8.706893820416097
3.9187499999999997,8.654097205225973
4.0375,8.599336820360044
4.15625,8.542574900900782
4.2749999999999995,8.483771272258583
4.39375,8.422883172495034
4.5125,8.35986505572907
4.63125,8.294668374172653
4.75,8.227241335952167
4.8687499999999995,8.157528635407907
4.9875,8.085471152010872
5.10625,8.011005613373392
5.225,7.934064217032781
5.34375,7.854574204723003
5.4624999999999995,7.772457381677947
5.58125,7.6876295720787695
5.699999999999999,7.6000000000000005
5.81875,7.509470583037129
5.9375,7.415935123098098
6.0562499999999995,7.319278375461614
6.175,7.219374972946065
6.293749999999999,7.116088176624852
6.4125,7.00926841760251
6.53125,6.898751585431961
6.6499999999999995,6.784357007115708
6.76875,6.66588504532594
6.887499999999999,6.5431142241290585
7.00625,6.4157977631390475
7.125,6.283659363778403
7.2437499999999995,6.1463880399385795
7.3625,6.003631713388155
7.481249999999999,5.85498919192
7.6,5.7
7.71875,5.538131312771484
7.8374999999999995,5.368760913842226
7.95625,5.191154586168669
8.075,5.0044355326050525
8.19375,4.807542088999326
8.3125,4.599167723621307
8.43125,4.377673290402105
8.549999999999999,4.140953996363643
8.66875,3.886228690838976
8.7875,3.6096874864730344
8.90625,3.3058600904303255
9.025,2.966374049239239
9.143749999999999,2.577175961687525
9.2625,2.1109461741124544
9.38125,1.497380525284073
9.5,0.0
9.5,-0.0
9.38125,-1.497380525284073
9.2625,-2.1109461741124544
9.143749999999999,-2.577175961687525
9.025,-2.966374049239239
8.90625,-3.3058600904303255
8.7875,-3.6096874864730344
8.66875,-3.886228690838976
8.549999999999999,-4.140953996363643
8.43125,-4.377673290402105
8.3125,-4.599167723621307
8.19375,-4.807542088999326
8.075,-5.0044355326050525
7.95625,-5.191154586168669
7.8374999999999995,-5.368760913842226
7.71875,-5.538131312771484
7.6,-5.7
7.481249999999999,-5.85498919192
7.3625,-6.003631713388155
7.2437499999999995,-6.1463880399385795
7.125,-6.283659363778403
7.00625,-6.4157977631390475
6.887499999999999,-6.5431142241290585
6.76875,-6.66588504532594
6.6499999999999995,-6.784357007115708
6.53125,-6.898751585431961
6.4125,-7.00926841760251
6.293749999999999,-7.116088176624852
6.175,-7.219374972946065
6.0562499999999995,-7.319278375461614
5.9375,-7.415935123098098
