x,y
-5.0,0.0
-4.875,1.1110243021644486
-4.75,1.5612494995995996
-4.625,1.899835519196333
-4.5,2.179449471770337
-4.375,2.4206145913796355
-4.25,2.6339134382131846
-4.125,2.8256636388643286
-4.0,3.0
-3.875,3.1598061649411346
-3.75,3.307189138830738
-3.625,3.4437443284889775
-3.5,3.570714214271425
-3.375,3.6890886408434267
-3.25,3.799671038392666
-3.125,3.9031237489989987
-3.0,4.0
-2.875,4.090767042988393
-2.75,4.175823272122517
-2.625,4.2555111326373005
-2.5,4.330127018922194
-2.375,4.399928976699511
-2.25,4.4651427748729375
-2.125,4.525966747557918
-2.0,4.58257569495584
-1.875,4.635124054434789
-1.75,4.683748498798798
-1.625,4.728570079844435
-1.5,4.769696007084728
-1.375,4.807221130757353
-1.25,4.841229182759271
-1.125,4.871793817476269
-1.0,4.898979485566356
-0.875,4.922842166878804
-0.75,4.943429983321297
-0.625,4.960783708246107
-0.5,4.9749371855331
-0.375,4.985917668794783
-0.25,4.993746088859544
-0.125,4.998437255783052
0.0,5.0
0.0,5.0
0.125,4.998437255783052
0.25,4.993746088859544
0.375,4.985917668794783
0.5,4.9749371855331
0.625,4.960783708246107
0.75,4.943429983321297
0.875,4.922842166878804
1.0,4.898979485566356
1.125,4.871793817476269
1.25,4.841229182759271
1.375,4.807221130757353
1.5,4.769696007084728
1.625,4.728570079844435
1.75,4.683748498798798
1.875,4.635124054434789
2.0,4.58257569495584
2.125,4.525966747557918
2.25,4.4651427748729375
2.375,4.399928976699511
2.5,4.330127018922194
2.625,4.2555111326373005
2.75,4.175823272122517
2.875,4.090767042988393
3.0,4.0
3.125,3.9031237489989987
3.25,3.799671038392666
3.375,3.6890886408434267
3.5,3.570714214271425
3.625,3.4437443284889775
3.75,3.307189138830738
3.875,3.1598061649411346
4.0,3.0
4.125,2.8256636388643286
4.25,2.6339134382131846
4.375,2.4206145913796355
4.5,2.179449471770337
4.625,1.899835519196333
4.75,1.5612494995995996
4.875,1.1110243021644486
5.0,0.0
5.0,-0.0
4.875,-1.1110243021644486
4.75,-1.5612494995995996
4.625,-1.899835519196333
4.5,-2.179449471770337
4.375,-2.4206145913796355
4.25,-2.6339134382131846
4.125,-2.8256636388643286
4.0,-3.0
3.875,-3.1598061649411346
3.75,-3.307189138830738
3.625,-3.4437443284889775
3.5,-3.570714214271425
3.375,-3.6890886408434267
3.25,-3.799671038392666
3.125,-3.9031237489989987
3.0,-4.0
2.875,-4.090767042988393
2.75,-4.175823272122517
2.625,-4.2555111326373005
2.5,-4.330127018922194
2.375,-4.399928976699511
2.25,-4.4651427748729375
2.125,-4.525966747557918
2.0,-4.58257569495584
1.875,-4.635124054434789
1.75,-4.683748498798798
1.625,-4.728570079844435
1.5,-4.769696007084728
1.375,-4.807221130757353
1.25,-4.841229182759271
1.125,-4.871793817476269
1.0,-4.898979485566356
0.875,-4.922842166878804
0.75,-4.943429983321297
0.625,-4.960783708246107
0.5,-4.9749371855331
0.375,-4.985917668794783
0.25,-4.993746088859544
0.125,-4.998437255783052
0.0,-5.0
0.0,-5.0
-0.125,-4.998437255783052
-0.25,-4.993746088859544
-0.375,-4.985917668794783
-0.5,-4.9749371855331
-0.625,-4.960783708246107
-0.75,-4.943429983321297
-0.875,-4.922842166878804
-1.0,-4.898979485566356
-1.125,-4.871793817476269
-1.25,-4.841229182759271
-1.375,-4.807221130757353
-1.5,-4.769696007084728
-1.625,-4.728570079844435
-1.75,-4.683748498798798
-1.875,-4.635124054434789
-2.0,-4.58257569495584
-2.125,-4.525966747557918
-2.25,-4.4651427748729375
-2.375,-4.399928976699511
-2.5,-4.330127018922194
-2.625,-4.2555111326373005
-2.75,-4.175823272122517
-2.875,-4.090767042988393
-3.0,-4.0
-3.125,-3.9031237489989987
-3.25,-3.799671038392666
-3.375,-3.6890886408434267
-3.5,-3.570714214271425
-3.625,-3.4437443284889775
-3.75,-3.307189138830738
-3.875,-3.1598061649411346
-4.0,-3.0
-4.125,-2.8256636388643286
-4.25,-2.6339134382131846
-4.375,-2.4206145913796355
-4.5,-2.179449471770337
-4.625,-1.899835519196333
-4.75,-1.5612494995995996
-4.875,-1.1110243021644486
-5.0,-0.0
