x,y
-3.5,0.0
-3.15,1.525614630239236
-2.8,2.1
-2.4499999999999997,2.499499949989998
-2.0999999999999996,2.8000000000000003
-1.75,3.031088913245535
-1.4,3.2078029864690882
-1.0499999999999998,3.33878720495931
-0.7,3.4292856398964493
-0.35,3.4824560298731697
0.0,3.5
0.0,3.5
0.35,3.4824560298731697
0.7,3.4292856398964493
1.0499999999999998,3.33878720495931
1.4,3.2078029864690882
1.75,3.031088913245535
2.0999999999999996,2.8000000000000003
2.4499999999999997,2.499499949989998
2.8,2.1
3.15,1.525614630239236
3.5,0.0
3.5,-0.0
3.15,-1.525614630239236
2.8,-2.1
2.4499999999999997,-2.499499949989998
2.0999999999999996,-2.8000000000000003
1.75,-3.031088913245535
1.4,-3.2078029864690882
1.0499999999999998,-3.33878720495931
0.7,-3.4292856398964493
0.35,-3.4824560298731697
0.0,-3.5
0.0,-3.5
-0.35,-3.4824560298731697
-0.7,-3.4292856398964493
-1.0499999999999998,-3.33878720495931
-1.4,-3.2078029864690882
-1.75,-3.031088913245535
-2.0999999999999996,-2.8000000000000003
-2.4499999999999997,-2.499499949989998
-2.8,-2.1
-3.15,-1.525614630239236
-3.5,-0.0
