x,y
-5.0,0.0
-4.75,1.5612494995995996
-4.5,2.179449471770337
-4.25,2.6339134382131846
-4.0,3.0
-3.75,3.307189138830738
-3.5,3.570714214271425
-3.25,3.799671038392666
-3.0,4.0
-2.75,4.175823272122517
-2.5,4.330127018922194
-2.25,4.4651427748729375
-2.0,4.58257569495584
-1.75,4.683748498798798
-1.5,4.769696007084728
-1.25,4.841229182759271
-1.0,4.898979485566356
-0.75,4.943429983321297
-0.5,4.9749371855331
-0.25,4.993746088859544
0.0,5.0
0.0,5.0
0.25,4.993746088859544
0.5,4.9749371855331
0.75,4.943429983321297
1.0,4.898979485566356
1.25,4.841229182759271
1.5,4.769696007084728
1.75,4.683748498798798
2.0,4.58257569495584
2.25,4.4651427748729375
2.5,4.330127018922194
2.75,4.175823272122517
3.0,4.0
3.25,3.799671038392666
3.5,3.570714214271425
3.75,3.307189138830738
4.0,3.0
4.25,2.6339134382131846
4.5,2.179449471770337
4.75,1.5612494995995996
5.0,0.0
5.0,-0.0
4.75,-1.5612494995995996
4.5,-2.179449471770337
4.25,-2.6339134382131846
4.0,-3.0
3.75,-3.307189138830738
3.5,-3.570714214271425
3.25,-3.799671038392666
3.0,-4.0
2.75,-4.175823272122517
2.5,-4.330127018922194
2.25,-4.4651427748729375
2.0,-4.58257569495584
1.75,-4.683748498798798
1.5,-4.769696007084728
1.25,-4.841229182759271
1.0,-4.898979485566356
0.75,-4.943429983321297
0.5,-4.9749371855331
0.25,-4.993746088859544
0.0,-5.0
0.0,-5.0
-0.25,-4.993746088859544
-0.5,-4.9749371855331
-0.75,-4.943429983321297
-1.0,-4.898979485566356
-1.25,-4.841229182759271
-1.5,-4.769696007084728
-1.75,-4.683748498798798
-2.0,-4.58257569495584
-2.25,-4.4651427748729375
-2.5,-4.330127018922194
-2.75,-4.175823272122517
-3.0,-4.0
-3.25,-3.799671038392666
-3.5,-3.570714214271425
-3.75,-3.307189138830738
-4.0,-3.0
-4.25,-2.6339134382131846
-4.5,-2.179449471770337
-4.75,-1.5612494995995996
-5.0,-0.0
