x,y
-5.0,0.0
-4.5,2.179449471770337
-4.0,3.0
-3.5,3.570714214271425
-3.0,4.0
-2.5,4.330127018922194
-2.0,4.58257569495584
-1.5,4.769696007084728
-1.0,4.898979485566356
-0.5,4.9749371855331
0.0,5.0
0.0,5.0
0.5,4.9749371855331
1.0,4.898979485566356
1.5,4.769696007084728
2.0,4.58257569495584
2.5,4.330127018922194
3.0,4.0
3.5,3.570714214271425
4.0,3.0
4.5,2.179449471770337
5.0,0.0
5.0,-0.0
4.5,-2.179449471770337
4.0,-3.0
3.5,-3.570714214271425
3.0,-4.0
2.5,-4.330127018922194
2.0,-4.58257569495584
1.5,-4.769696007084728
1.0,-4.898979485566356
0.5,-4.9749371855331
0.0,-5.0
0.0,-5.0
-0.5,-4.9749371855331
-1.0,-4.898979485566356
-1.5,-4.769696007084728
-2.0,-4.58257569495584
-2.5,-4.330127018922194
-3.0,-4.0
-3.5,-3.570714214271425
-4.0,-3.0
-4.5,-2.179449471770337
-5.0,-0.0
